Survey Title: Student's Satisfaction and Perception Towards Online Shopping,,,,,,,,,,,,
Timestamp,Name (Optional): ,Age: ,How often do you buy on Online Shops (eCommerce sites)?,Which E-commerce Site/Platform do you use the most?,How much in total do you spend on Online Shopping Monthly?,What is your biggest concern in terms of buying Online?,I am very happy and satisfied with my online shopping experience regardless of which platform. ,I have not experienced or less encountered problems on parcel deliveries.,"Online shopping is very convenient for me, and it helps with the current situation especially during this pandemic.",I can save money because prices Online are much cheaper than in Physical Stores.,I can easily manage my time because Online shopping has made it easier for me to buy things I need.,I plan to continue buying goods and items online.
09/07/2021 17:01,,19 and Above,Seldom,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,3,4,4,5,5,3
09/07/2021 17:01,,19 and Above,Not Often,Shopee,Less Than ₱1000,Payment Options.,4,2,4,4,4,3
09/07/2021 17:06,,19 and Above,Not Often,Shopee,Less Than ₱1000,Too much waiting time of parcel arrival.,4,3,5,5,5,5
09/07/2021 17:06,,19 and Above,Very Often,Shopee,₱1000 - ₱3000,Parcels might be mishandled and be damaged.,4,3,4,3,4,3
09/07/2021 17:06,,19 and Above,Very Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,4,4,3,4,3
09/07/2021 17:07,,18 and Below,Very Often,Lazada,₱1000 - ₱3000,Actual Item is different from the Advertisement.,4,4,4,4,4,4
09/07/2021 17:09,,19 and Above,Very Often,Shopee,₱1000 - ₱3000,Too much waiting time of parcel arrival.,4,2,4,4,5,5
09/07/2021 17:10,,19 and Above,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,1,5,3,5,5
09/07/2021 17:12,,18 and Below,Not Often,Lazada,Less Than ₱1000,Parcels might be mishandled and be damaged.,5,5,5,4,4,5
09/07/2021 17:12,Vincent Callejas,19 and Above,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,5,4,4,5,2
09/07/2021 17:18,,19 and Above,Not Often,Shopee,₱1000 - ₱3000,Too much waiting time of parcel arrival.,4,3,4,4,4,4
09/07/2021 17:23,,19 and Above,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,5,5,5,5,4
09/07/2021 17:33,Christian,19 and Above,Seldom,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,4,4,4,4,4
09/07/2021 17:34,Eyron,19 and Above,Not Often,Lazada,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,4,5,5,5,5
09/07/2021 17:42,,19 and Above,Very Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,5,5,5,5,5,5
09/07/2021 17:44,,19 and Above,Very Often,Lazada,₱1000 - ₱3000,Parcels might be mishandled and be damaged.,4,4,5,5,5,3
09/07/2021 17:48,Lawrence,19 and Above,Seldom,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,3,3,3,2,2,2
09/07/2021 17:49,,19 and Above,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,4,5,5,5,4
09/07/2021 17:50,,19 and Above,Very Often,Shopee,Less Than ₱1000,Too much waiting time of parcel arrival.,4,4,5,4,3,5
09/07/2021 17:55,Shylock Realm C. Ramos,18 and Below,Seldom,Lazada,Less Than ₱1000,Too much waiting time of parcel arrival.,4,5,4,4,4,4
09/07/2021 18:02,Christopher John Bianito,19 and Above,Seldom,Lazada,Less Than ₱1000,Actual Item is different from the Advertisement.,4,2,5,3,4,3
09/07/2021 18:45,Jonel,19 and Above,Not Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,3,4,5,4,5,4
09/07/2021 18:46,,19 and Above,Very Often,Shopee,₱1000 - ₱3000,Parcels might be mishandled and be damaged.,4,3,5,5,5,5
09/07/2021 18:48,Bien,19 and Above,Very Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,3,4,4,4,5
09/07/2021 20:49,Francess May,19 and Above,Very Often,Shopee,₱1000 - ₱3000,Actual Item is different from the Advertisement.,5,3,5,5,5,5
09/07/2021 20:53,lokiii,19 and Above,Not Often,Lazada,More than ₱5000,Parcels might be mishandled and be damaged.,4,4,4,2,3,3
09/07/2021 21:20,May,19 and Above,Not Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,3,4,4,4,4,3
09/07/2021 22:18,,19 and Above,Seldom,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,3,3,3,3,3,4
09/08/2021 14:39,Taeyeon,19 and Above,Not Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,3,4,5,5,5,4
09/08/2021 15:01,,18 and Below,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,4,5,4,4,4
09/08/2021 15:20,,18 and Below,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,4,4,3,4,4
09/08/2021 18:43,,19 and Above,Not Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,4,5,5,5,5
09/08/2021 21:25,Ivaan,19 and Above,Very Often,Shopee,₱1000 - ₱3000,Parcels might be mishandled and be damaged.,5,4,5,4,4,5
09/09/2021 8:09,,19 and Above,Seldom,Lazada,Less Than ₱1000,Actual Item is different from the Advertisement.,4,4,5,4,5,5
09/09/2021 8:17,,19 and Above,Seldom,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,4,5,4,5,5
09/09/2021 9:18,,19 and Above,Not Often,Shopee,₱1000 - ₱3000,Actual Item is different from the Advertisement.,5,5,5,5,5,5
09/09/2021 10:41,,19 and Above,Very Often,Shopee,₱1000 - ₱3000,Parcels might be mishandled and be damaged.,4,4,5,5,5,5
09/09/2021 12:09,,19 and Above,Seldom,Lazada,Less Than ₱1000,Actual Item is different from the Advertisement.,4,4,4,3,4,4
09/09/2021 12:11,,19 and Above,Not Often,Shopee,Less Than ₱1000,Too much waiting time of parcel arrival.,4,4,4,4,4,3
09/09/2021 12:39,,19 and Above,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,5,4,5,4,5,5
09/09/2021 12:41,Rhoda,19 and Above,Not Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,4,4,5,5,4
09/09/2021 13:40,Rhastee Egor Humarang,19 and Above,Seldom,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,4,3,4,5,5
09/09/2021 13:42,,19 and Above,Very Often,Shopee,₱1000 - ₱3000,Too much waiting time of parcel arrival.,4,4,5,4,4,5
09/09/2021 13:44,,19 and Above,Very Often,Shopee,₱1000 - ₱3000,Actual Item is different from the Advertisement.,4,3,5,4,5,4
09/09/2021 13:55,,19 and Above,Seldom,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,4,5,5,4,5
09/09/2021 13:56,Crisha Ghian Gatdula,19 and Above,Very Often,Shopee,Less Than ₱1000,Too much waiting time of parcel arrival.,4,3,4,4,4,4
09/09/2021 16:30,Angelica,19 and Above,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,3,4,5,4,5,5
09/09/2021 18:17,Daniel,18 and Below,Not Often,Lazada,Less Than ₱1000,Too much waiting time of parcel arrival.,4,5,5,5,5,5
09/10/2021 11:15,,19 and Above,Very Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,4,5,2,3,4
09/10/2021 11:16,,18 and Below,Not Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,4,3,5,4,4
09/10/2021 11:16,,19 and Above,Not Often,Lazada,Less Than ₱1000,Actual Item is different from the Advertisement.,5,4,4,4,4,5
09/10/2021 11:17,,18 and Below,Seldom,Lazada,₱1000 - ₱3000,Too much waiting time of parcel arrival.,5,3,5,5,4,5
09/10/2021 11:17,James Neil,19 and Above,Very Often,Shopee,₱1000 - ₱3000,Actual Item is different from the Advertisement.,5,5,5,5,5,5
09/10/2021 11:18,Shanel Crema,18 and Below,Not Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,5,5,5,5,5,5
09/10/2021 11:18,Yuan Rodis,18 and Below,Very Often,Shopee,₱1000 - ₱3000,Actual Item is different from the Advertisement.,5,3,4,4,4,4
09/10/2021 11:18,Emilson Umel,19 and Above,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,2,4,4,4,4
09/10/2021 11:19,Aeron,19 and Above,Very Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,2,4,4,4,3
09/10/2021 11:20,,19 and Above,Very Often,Shopee,₱1000 - ₱3000,Too much waiting time of parcel arrival.,5,4,4,5,5,5
